Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Lupus Erythematosus, Systemic	C0024141	DNASE1	1773	P24855	deoxyribonuclease 1		180	0.505	0.846	6.9801e-21	0.9		0.955	22	1	2000.0	2020.0
Lupus Erythematosus, Systemic	C0024141	FCGR2B	2213	P31994	Fc fragment of IgG receptor IIb	Cell adhesion	155	0.522	0.846	0.45637	0.9		0.98	50	6	1995.0	2019.0
Lupus Erythematosus, Systemic	C0024141	TREX1	11277	Q9NSU2	three prime repair exonuclease 1		241	0.517	0.808	0.57528	0.8	strong	0.967	30	10	2007.0	2020.0
Lupus Erythematosus, Systemic	C0024141	PTPN22	26191	Q9Y2R2	protein tyrosine phosphatase non-receptor type 22		400	0.438	0.846	3.4921e-21	0.8		0.952	62	5	2004.0	2019.0
Lupus Erythematosus, Systemic	C0024141	PDCD1	5133	Q15116	programmed cell death 1		497	0.402	0.846	0.41706	0.8		0.949	39	2	1998.0	2020.0
Lupus Erythematosus, Systemic	C0024141	TNIP1	10318	Q15025	TNFAIP3 interacting protein 1		93	0.564	0.769	0.47559	0.7		0.926	27	6	2009.0	2019.0
Lupus Erythematosus, Systemic	C0024141	CTLA4	1493	P16410	cytotoxic T-lymphocyte associated protein 4		722	0.369	0.923	0.94085	0.7		0.829	41	5	1998.0	2020.0
Lupus Erythematosus, Systemic	C0024141	ETS1	2113	P14921	ETS proto-oncogene 1, transcription factor	Transcription factor	327	0.444	0.731	0.7816	0.7		0.957	23	2	2000.0	2019.0
Lupus Erythematosus, Systemic	C0024141	HLA-DRB1	3123	P01911	major histocompatibility complex, class II, DR beta 1	Immune response	1018	0.333	0.923	0.0010997	0.7		0.882	102	8	1990.0	2019.0
Lupus Erythematosus, Systemic	C0024141	IL10	3586	P22301	interleukin 10		1679	0.281	0.923	0.0058874	0.7		0.945	127	8	1994.0	2019.0
Lupus Erythematosus, Systemic	C0024141	IRF5	3663	Q13568	interferon regulatory factor 5	Transcription factor	226	0.489	0.731	0.0090365	0.7		0.949	117	9	2005.0	2020.0
Lupus Erythematosus, Systemic	C0024141	ITGAM	3684	P11215	integrin subunit alpha M		343	0.443	0.808	3.3148e-11	0.7		1.0	51	10	2008.0	2019.0
Lupus Erythematosus, Systemic	C0024141	BANK1	55024	Q8NDB2	B cell scaffold protein with ankyrin repeats 1		51	0.653	0.538	4.7905e-12	0.7		0.955	22	7	2008.0	2019.0
Lupus Erythematosus, Systemic	C0024141	BLK	640	P51451	BLK proto-oncogene, Src family tyrosine kinase	Kinase	86	0.585	0.769	8.348e-14	0.7		0.976	41	12	2008.0	2020.0
Lupus Erythematosus, Systemic	C0024141	IFIH1	64135	Q9BYX4	interferon induced with helicase C domain 1		319	0.471	0.808	6.9819e-44	0.7		1.0	24	4	2006.0	2019.0
Lupus Erythematosus, Systemic	C0024141	STAT4	6775	Q14765	signal transducer and activator of transcription 4	Nucleic acid binding	316	0.471	0.769	0.7662	0.7		0.961	77	17	2002.0	2020.0
Lupus Erythematosus, Systemic	C0024141	TNFAIP3	7128	P21580	TNF alpha induced protein 3	Enzyme	212	0.481	0.808	0.99972	0.7		0.929	42	7	2008.0	2019.0
Lupus Erythematosus, Systemic	C0024141	C4A	720	P0C0L4;P0C0L5	complement C4A (Rodgers blood group)	Enzyme modulator	145	0.563	0.769	1.5416e-11	0.7		0.957	23	0	1987.0	2018.0
Lupus Erythematosus, Systemic	C0024141	CR2	1380	P20023	complement C3d receptor 2		123	0.556	0.654	4.7399e-19	0.69	moderate	1.0	10	5	2006.0	2020.0
Lupus Erythematosus, Systemic	C0024141	PXK	54899	Q7Z7A4	PX domain containing serine/threonine kinase like	Kinase	13	0.821	0.231	0.010847	0.67		0.875	8	3	2008.0	2015.0
Lupus Erythematosus, Systemic	C0024141	C1QA	712	P02745	complement C1q A chain		88	0.623	0.654	0.0038204	0.67		0.7	10	4	1996.0	2012.0
Lupus Erythematosus, Systemic	C0024141	JAZF1	221895	Q86VZ6	JAZF zinc finger 1		102	0.582	0.654	0.89582	0.63		0.8	5	9	2009.0	2017.0
Lupus Erythematosus, Systemic	C0024141	RASGRP1	10125	O95267	RAS guanyl releasing protein 1	Enzyme modulator	110	0.572	0.731	0.96554	0.62		1.0	4	1	2003.0	2018.0
Lupus Erythematosus, Systemic	C0024141	C4B	721	P0C0L4;P0C0L5	complement C4B (Chido blood group)	Enzyme modulator	66	0.603	0.808	0.83464	0.6		0.944	18	0	1985.0	2019.0
Lupus Erythematosus, Systemic	C0024141	TNFSF4	7292	P23510	TNF superfamily member 4	Signaling	129	0.54	0.808	0.049378	0.6		0.967	30	17	2008.0	2019.0
Lupus Erythematosus, Systemic	C0024141	PRDM1	639	O75626	PR/SET domain 1		126	0.538	0.731	0.9565	0.55		1.0	5	0	2009.0	2017.0
Lupus Erythematosus, Systemic	C0024141	DEF6	50619	Q9H4E7	DEF6 guanine nucleotide exchange factor	Nucleic acid binding	22	0.751	0.346	0.99768	0.52		1.0	4	0	2006.0	2018.0
Lupus Erythematosus, Systemic	C0024141	FCGR2A	2212	P12318	Fc fragment of IgG receptor IIa	Cell adhesion	227	0.48	0.769	2.0054e-06	0.5		0.906	32	3	1995.0	2019.0
Lupus Erythematosus, Systemic	C0024141	HLA-DQA1	3117	P01909	major histocompatibility complex, class II, DQ alpha 1	Immune response	427	0.416	0.846	0.023947	0.5		0.931	29	2	1991.0	2016.0
Lupus Erythematosus, Systemic	C0024141	IRAK1	3654	P51617	interleukin 1 receptor associated kinase 1	Kinase	200	0.506	0.808	0.98774	0.5		1.0	15	3	2007.0	2019.0
Lupus Erythematosus, Systemic	C0024141	MECP2	4204	P51608	methyl-CpG binding protein 2	Epigenetic regulator	664	0.414	0.846	0.89382	0.5		1.0	16	6	2008.0	2018.0
Lupus Erythematosus, Systemic	C0024141	SPP1	6696	P10451	secreted phosphoprotein 1		824	0.353	0.885	2.146e-06	0.5		0.952	21	3	1998.0	2019.0
Lupus Erythematosus, Systemic	C0024141	UBE2L3	7332	P68036	ubiquitin conjugating enzyme E2 L3	Enzyme	56	0.644	0.615	0.83844	0.49		0.941	17	6	2008.0	2020.0
Lupus Erythematosus, Systemic	C0024141	DNASE1L3	1776	Q13609	deoxyribonuclease 1 like 3		126	0.575	0.769	3.0012e-05	0.47		1.0	8	1	2011.0	2020.0
Lupus Erythematosus, Systemic	C0024141	PHRF1	57661	Q9P1Y6	PHD and ring finger domains 1		17	0.743	0.346	0.056521	0.47		0.875	8	2	2008.0	2012.0
Lupus Erythematosus, Systemic	C0024141	C2	717	P06681	complement C2		71	0.617	0.692	1.3494e-16	0.45	strong	1.0	7	2	1976.0	2015.0
Lupus Erythematosus, Systemic	C0024141	SLC15A4	121260	Q8N697	solute carrier family 15 member 4	Transporter	9	0.805	0.269	1.9296e-06	0.44		1.0	8	10	2009.0	2017.0
Lupus Erythematosus, Systemic	C0024141	UHRF1BP1	54887	Q6BDS2	UHRF1 binding protein 1		26	0.769	0.269	4.4659e-13	0.43		0.857	7	7	2009.0	2019.0
Lupus Erythematosus, Systemic	C0024141	CLEC16A	23274	Q2KHT3	C-type lectin domain containing 16A		67	0.612	0.654	0.27595	0.41		1.0	6	5	2009.0	2017.0
Lupus Erythematosus, Systemic	C0024141	RASGRP3	25780	Q8IV61	RAS guanyl releasing protein 3	Enzyme modulator	34	0.686	0.5	0.0091132	0.41		1.0	4	1	2009.0	2017.0
Lupus Erythematosus, Systemic	C0024141	C1R	715	P00736	complement C1r	Enzyme	96	0.638	0.654	0.77888	0.41	strong	1.0	2	0	2011.0	2017.0
Lupus Erythematosus, Systemic	C0024141	KIAA0319L	79932	Q8IZA0	KIAA0319 like		29	0.711	0.423	0.0012186	0.41		1.0	1	1	2013.0	2013.0
Lupus Erythematosus, Systemic	C0024141	CRP	1401	P02741	C-reactive protein		1483	0.299	0.962	0.0036969	0.4		0.923	52	3	1987.0	2020.0
Lupus Erythematosus, Systemic	C0024141	FCGR3B	2215	O75015	Fc fragment of IgG receptor IIIb	Cell adhesion	291	0.452	0.962	3.0294e-07	0.4		0.925	40	2	1999.0	2019.0
Lupus Erythematosus, Systemic	C0024141	FAS	355	P25445	Fas cell surface death receptor		754	0.372	0.923	0.8117	0.4		0.943	35	2	1978.0	2020.0
Lupus Erythematosus, Systemic	C0024141	IL4	3565	P05112	interleukin 4		996	0.332	0.962	0.0047372	0.4		0.895	19	1	1996.0	2018.0
Lupus Erythematosus, Systemic	C0024141	IL6	3569	P05231	interleukin 6		2367	0.248	0.962	0.31536	0.4		0.952	83	3	1990.0	2019.0
Lupus Erythematosus, Systemic	C0024141	PRL	5617	P01236	prolactin	Signaling	506	0.406	0.885	2.9015e-07	0.4		0.963	27	1	1997.0	2019.0
Lupus Erythematosus, Systemic	C0024141	IL21	59067	Q9HBE4	interleukin 21		321	0.441	0.769	0.6254	0.4		1.0	37	3	2004.0	2019.0
Lupus Erythematosus, Systemic	C0024141	CFB	629	P00751	complement factor B		139	0.532	0.769	4.6696e-16	0.4		1.0	4	1	2008.0	2015.0
Lupus Erythematosus, Systemic	C0024141	TLR5	7100	O60602	toll like receptor 5		163	0.518	0.885	2.4773e-13	0.4		0.882	17	1	2001.0	2019.0
Lupus Erythematosus, Systemic	C0024141	C1S	716	P09871	complement C1s	Enzyme	43	0.705	0.462	0.00067654	0.4	strong	1.0	1	0	2010.0	2010.0
Lupus Erythematosus, Systemic	C0024141	CAT	847	P04040	catalase	Enzyme	794	0.359	0.962	1.6263e-10	0.4		0.818	11	0	2005.0	2019.0
Lupus Erythematosus, Systemic	C0024141	ATG5	9474	Q9H1Y0	autophagy related 5	Transporter	282	0.462	0.885	0.97758	0.39		0.944	18	7	2008.0	2019.0
Lupus Erythematosus, Systemic	C0024141	IKZF1	10320	Q13422	IKAROS family zinc finger 1	Transcription factor	165	0.533	0.769	0.9986	0.38		1.0	9	0	2009.0	2017.0
Lupus Erythematosus, Systemic	C0024141	NCF1	653361	P14598	neutrophil cytosolic factor 1		170	0.521	0.808	2.8311e-05	0.37		1.0	7	1	2014.0	2020.0
Lupus Erythematosus, Systemic	C0024141	CD226	10666	Q15762	CD226 molecule		124	0.548	0.769	0.03921	0.36		1.0	7	1	2005.0	2016.0
Lupus Erythematosus, Systemic	C0024141	CLU	1191	P10909	clusterin		412	0.426	0.885	7.8072e-05	0.36		0.833	6	0	2003.0	2017.0
Lupus Erythematosus, Systemic	C0024141	IL12B	3593	P29460	interleukin 12B	Signaling	249	0.48	0.885	0.00011439	0.34		0.833	6	1	2005.0	2016.0
Lupus Erythematosus, Systemic	C0024141	IL21R	50615	Q9HBE5	interleukin 21 receptor	Receptor	110	0.55	0.731	0.99835	0.34		1.0	5	1	2007.0	2013.0
Lupus Erythematosus, Systemic	C0024141	IRAK4	51135	Q9NWZ3	interleukin 1 receptor associated kinase 4	Kinase	90	0.578	0.769	7.8001e-09	0.34		1.0	4	0	2009.0	2018.0
Lupus Erythematosus, Systemic	C0024141	DNASE2	1777	O00115	deoxyribonuclease 2, lysosomal	Enzyme	29	0.7	0.462	0.00045225	0.33	strong	1.0	4	0	2005.0	2020.0
Lupus Erythematosus, Systemic	C0024141	IKZF3	22806	Q9UKT9	IKAROS family zinc finger 3	Transcription factor	64	0.608	0.692	0.98416	0.33		1.0	7	3	1998.0	2019.0
Lupus Erythematosus, Systemic	C0024141	CSK	1445	P41240	C-terminal Src kinase	Kinase	91	0.606	0.692	0.99977	0.32		1.0	2	1	2012.0	2015.0
Lupus Erythematosus, Systemic	C0024141	LYN	4067	P07948	LYN proto-oncogene, Src family tyrosine kinase	Kinase	75	0.603	0.615	0.99886	0.32		1.0	5	3	2001.0	2010.0
Lupus Erythematosus, Systemic	C0024141	PTGS2	5743	P35354	prostaglandin-endoperoxide synthase 2	Enzyme	1234	0.314	0.962	0.99597	0.32		0.667	3	0	2006.0	2012.0
Lupus Erythematosus, Systemic	C0024141	C1QB	713	P02746	complement C1q B chain		24	0.711	0.538	0.15392	0.32	strong	1.0	3	2	2002.0	2013.0
Lupus Erythematosus, Systemic	C0024141	ANXA3	306	P12429	annexin A3		66	0.61	0.615	6.5152e-12	0.31		1.0	1	0	2012.0	2012.0
Lupus Erythematosus, Systemic	C0024141	P2RY12	64805	Q9H244	purinergic receptor P2Y12	G-protein coupled receptor	153	0.533	0.731	0.0016859	0.31		1.0	1	0	2004.0	2004.0
Lupus Erythematosus, Systemic	C0024141	TCF7	6932	P36402	transcription factor 7		108	0.556	0.654	0.0053732	0.31		1.0	2	0	2016.0	2017.0
Lupus Erythematosus, Systemic	C0024141	SIGLEC6	946	O43699	sialic acid binding Ig like lectin 6	Receptor	5	0.861	0.192	0.0058774	0.31		1.0	2	0	2016.0	2019.0
Lupus Erythematosus, Systemic	C0024141	SH2B3	10019	Q9UQQ2	SH2B adaptor protein 3		212	0.527	0.692	0.00010289	0.3		1.0	1	0	2009.0	2009.0
Lupus Erythematosus, Systemic	C0024141	PCNX3	399909	Q9H6A9	pecanex 3		11	0.839	0.192	0.99999	0.3		1.0	1	0	2016.0	2016.0
Lupus Erythematosus, Systemic	C0024141	TLR7	51284	Q9NYK1	toll like receptor 7		276	0.464	0.885	0.97912	0.3		0.966	59	5	2007.0	2019.0
Lupus Erythematosus, Systemic	C0024141	RO60	6738	P10155	Ro60, Y RNA binding protein	Nucleic acid binding	61	0.61	0.692	0.58278	0.3		0.929	28	0	1987.0	2019.0
Lupus Erythematosus, Systemic	C0024141	TERT	7015	O14746	telomerase reverse transcriptase	Enzyme	703	0.374	0.846	0.99046	0.3		1.0	1	1	2016.0	2016.0
Lupus Erythematosus, Systemic	C0024141	SYNGR1	9145	O43759	synaptogyrin 1	Transporter	17	0.736	0.346	0.45121	0.3		1.0	1	0	2016.0	2016.0
Lupus Erythematosus, Systemic	C0024141	CD40LG	959	P29965	CD40 ligand	Signaling	453	0.414	0.846	0.72079	0.3		0.98	49	0	1996.0	2020.0
Lupus Erythematosus, Systemic	C0024141	TNFRSF13B	23495	O14836	TNF receptor superfamily member 13B		137	0.558	0.769	2.0908e-15	0.28		1.0	10	2	2001.0	2019.0
Lupus Erythematosus, Systemic	C0024141	CYBB	1536	P04839	cytochrome b-245 beta chain	Ion channel	343	0.452	0.885	0.99904	0.26		1.0	7	0	2016.0	2019.0
Lupus Erythematosus, Systemic	C0024141	CDKN1A	1026	P38936	cyclin dependent kinase inhibitor 1A		490	0.403	0.769	0.0018575	0.24		1.0	7	1	1999.0	2019.0
Lupus Erythematosus, Systemic	C0024141	JAK1	3716	P23458	Janus kinase 1	Kinase	239	0.474	0.769	0.99998	0.24		1.0	5	0	2013.0	2019.0
Lupus Erythematosus, Systemic	C0024141	PTPRC	5788	P08575	protein tyrosine phosphatase receptor type C	Enzyme	366	0.435	0.808	1.0	0.24		1.0	5	0	1996.0	2020.0
Lupus Erythematosus, Systemic	C0024141	SNRPD1	6632	P62314	small nuclear ribonucleoprotein D1 polypeptide	Nucleic acid binding	18	0.729	0.615	0.79903	0.24		1.0	5	0	1997.0	2018.0
Lupus Erythematosus, Systemic	C0024141	JUNB	3726	P17275	JunB proto-oncogene, AP-1 transcription factor subunit	Transcription factor	264	0.467	0.769	0.86299	0.23		1.0	3	0	2004.0	2011.0
Lupus Erythematosus, Systemic	C0024141	PPARG	5468	P37231	peroxisome proliferator activated receptor gamma	Nuclear receptor	877	0.358	0.885	0.029194	0.23		1.0	3	1	2011.0	2017.0
Lupus Erythematosus, Systemic	C0024141	TIMD4	91937	Q96H15	T cell immunoglobulin and mucin domain containing 4		49	0.644	0.654	2.6444e-10	0.23		1.0	4	2	2010.0	2017.0
Lupus Erythematosus, Systemic	C0024141	GADD45A	1647	P24522	growth arrest and DNA damage inducible alpha		151	0.526	0.769	0.044075	0.22		1.0	6	0	1999.0	2019.0
Lupus Erythematosus, Systemic	C0024141	LBR	3930	Q14739	lamin B receptor	Enzyme	307	0.473	0.808	0.18143	0.22		1.0	2	0	1988.0	2016.0
Lupus Erythematosus, Systemic	C0024141	ATG7	10533	O95352	autophagy related 7	Enzyme	179	0.505	0.769	7.3758e-12	0.21		1.0	1	0	2016.0	2016.0
Lupus Erythematosus, Systemic	C0024141	TRAF3IP2	10758	O43734	TRAF3 interacting protein 2		103	0.585	0.692	1.615e-09	0.21		1.0	2	1	2012.0	2013.0
Lupus Erythematosus, Systemic	C0024141	PLD4	122618	Q96BZ4	phospholipase D family member 4		12	0.78	0.5	7.7337e-13	0.21		1.0	1	1	2019.0	2019.0
Lupus Erythematosus, Systemic	C0024141	RC3H1	149041	Q5TC82	ring finger and CCCH-type domains 1		11	0.821	0.154	0.99309	0.21		1.0	2	0	2005.0	2016.0
Lupus Erythematosus, Systemic	C0024141	INPP5D	3635	Q92835	inositol polyphosphate-5-phosphatase D		109	0.558	0.731	0.97198	0.21		1.0	1	0	2019.0	2019.0
Lupus Erythematosus, Systemic	C0024141	MAN2A1	4124	Q16706	mannosidase alpha class 2A member 1		28	0.705	0.538	1.6205e-10	0.21		1.0	2	0	1997.0	2001.0
Lupus Erythematosus, Systemic	C0024141	BECN1	8678	Q14457	beclin 1	Enzyme modulator	373	0.432	0.846	0.93717	0.21		1.0	1	0	2014.0	2014.0
Lupus Erythematosus, Systemic	C0024141	RUBCN	9711	Q92622	rubicon autophagy regulator		36	0.716	0.423	1.387e-13	0.21		1.0	2	0	2016.0	2019.0
Lupus Erythematosus, Systemic	C0024141	EP300	2033	Q09472	E1A binding protein p300		345	0.459	0.846	1.0	0.2			0	0		
Lupus Erythematosus, Systemic	C0024141	HLA-A	3105	P04439	major histocompatibility complex, class I, A		672	0.37	0.846	0.0013299	0.2		1.0	15	1	1978.0	2014.0
Lupus Erythematosus, Systemic	C0024141	IL2RA	3559	P01589	interleukin 2 receptor subunit alpha	Receptor	540	0.389	0.885	0.054709	0.2		0.923	26	2	1992.0	2019.0
Lupus Erythematosus, Systemic	C0024141	FASLG	356	P48023	Fas ligand	Signaling	398	0.43	0.885	0.18345	0.2		0.923	13	0	1996.0	2017.0
Lupus Erythematosus, Systemic	C0024141	IRF7	3665	Q92985	interferon regulatory factor 7	Transcription factor	121	0.547	0.846	4.4508e-15	0.2		1.0	14	4	2010.0	2017.0
Lupus Erythematosus, Systemic	C0024141	LTA	4049	P01374	lymphotoxin alpha	Signaling	353	0.434	0.885	0.19685	0.2		0.786	14	3	1993.0	2017.0
Lupus Erythematosus, Systemic	C0024141	MIR196A2	406973		microRNA 196a-2		70	0.599	0.577		0.2		1.0	1	0	2016.0	2016.0
Lupus Erythematosus, Systemic	C0024141	POLB	5423	P06746	DNA polymerase beta	Enzyme	63	0.606	0.654	3.4002e-05	0.2		1.0	2	2	2012.0	2014.0
Lupus Erythematosus, Systemic	C0024141	RXRA	6256	P19793	retinoid X receptor alpha	Nuclear receptor	132	0.543	0.769	0.99852	0.2			0	0		
Lupus Erythematosus, Systemic	C0024141	C3	718	P01024	complement C3	Enzyme modulator	343	0.445	0.885	0.90421	0.2		0.897	29	3	1981.0	2020.0
Lupus Erythematosus, Systemic	C0024141	TYK2	7297	P29597	tyrosine kinase 2	Kinase	172	0.505	0.769	4.4963e-08	0.2		0.955	22	11	2005.0	2019.0
Lupus Erythematosus, Systemic	C0024141	RASSF5	83593	Q8WWW0	Ras association domain family member 5	Enzyme modulator	45	0.641	0.577	0.043347	0.2		1.0	1	0	2011.0	2011.0
Lupus Erythematosus, Systemic	C0024141	CD247	919	P20963	CD247 molecule		140	0.539	0.731	0.016734	0.2		1.0	30	2	1998.0	2018.0
Lupus Erythematosus, Systemic	C0024141	MTA2	9219	O94776	metastasis associated 1 family member 2	Nucleic acid binding	93	0.579	0.808	0.74479	0.2		1.0	1	0	2008.0	2008.0
Lupus Erythematosus, Systemic	C0024141	CD40	958	P25942	CD40 molecule		528	0.396	0.846	0.84603	0.2		0.957	23	4	1999.0	2019.0
Lupus Erythematosus, Systemic	C0024141	IL23R	149233	Q5VWK5	interleukin 23 receptor	Signaling	306	0.466	0.769	0.00055961	0.19		0.7	10	4	2007.0	2020.0
Lupus Erythematosus, Systemic	C0024141	NCF2	4688	P19878	neutrophil cytosolic factor 2	Enzyme	90	0.601	0.692	4.0054e-07	0.17		1.0	13	4	2009.0	2019.0
Lupus Erythematosus, Systemic	C0024141	HLA-B	3106	P01889	major histocompatibility complex, class I, B		706	0.379	0.885	3.8642e-05	0.16		1.0	7	2	1991.0	2018.0
Lupus Erythematosus, Systemic	C0024141	ITGAX	3687	P20702	integrin subunit alpha X		170	0.504	0.769	1.3665e-15	0.15		1.0	5	2	2008.0	2019.0
Lupus Erythematosus, Systemic	C0024141	BACH2	60468	Q9BYV9	BTB domain and CNC homolog 2		130	0.539	0.731	0.99803	0.15		0.833	6	1	2015.0	2020.0
Lupus Erythematosus, Systemic	C0024141	CD80	941	P33681	CD80 molecule		233	0.475	0.769	0.010898	0.15		1.0	6	2	2000.0	2017.0
Lupus Erythematosus, Systemic	C0024141	ELF1	1997	P32519	E74 like ETS transcription factor 1	Transcription factor	36	0.691	0.462	0.01065	0.14		1.0	4	1	2002.0	2011.0
Lupus Erythematosus, Systemic	C0024141	WDFY4	57705	Q6ZS81	WDFY family member 4		10	0.792	0.192	0.34009	0.14		1.0	12	8	2009.0	2018.0
Lupus Erythematosus, Systemic	C0024141	LRRK2	120892	Q5S007	leucine rich repeat kinase 2	Kinase	231	0.51	0.808	2.5757e-30	0.13		1.0	4	2	2015.0	2019.0
Lupus Erythematosus, Systemic	C0024141	TNPO3	23534	Q9Y5L0	transportin 3	Transporter	66	0.663	0.577	1.7546e-06	0.13		1.0	10	10	2008.0	2020.0
Lupus Erythematosus, Systemic	C0024141	IL19	29949	Q9UHD0	interleukin 19		103	0.558	0.769	4.325e-05	0.13		1.0	4	12	2013.0	2017.0
Lupus Erythematosus, Systemic	C0024141	HLA-DMB	3109	P28068	major histocompatibility complex, class II, DM beta	Immune response	41	0.638	0.615	0.0024627	0.13		0.75	4	1	1998.0	2014.0
Lupus Erythematosus, Systemic	C0024141	HLA-DQB2	3120	P05538	major histocompatibility complex, class II, DQ beta 2	Immune response	91	0.573	0.731	0.042679	0.13		1.0	6	4	2005.0	2014.0
Lupus Erythematosus, Systemic	C0024141	JAK2	3717	O60674	Janus kinase 2	Kinase	644	0.385	0.885	0.65372	0.13		1.0	4	1	2016.0	2020.0
Lupus Erythematosus, Systemic	C0024141	MICB	4277	Q29980	MHC class I polypeptide-related sequence B		95	0.576	0.731	4.0609e-05	0.13		1.0	4	3	2012.0	2017.0
Lupus Erythematosus, Systemic	C0024141	MSH5	4439	O43196	mutS homolog 5	Nucleic acid binding	51	0.641	0.692	3.2035e-11	0.13		0.833	6	1	2008.0	2017.0
Lupus Erythematosus, Systemic	C0024141	TMEM39A	55254	Q9NV64	transmembrane protein 39A		6	0.839	0.231	0.95467	0.13		1.0	4	3	2012.0	2017.0
Lupus Erythematosus, Systemic	C0024141	PRKCD	5580	Q05655	protein kinase C delta	Kinase	287	0.48	0.846	0.99995	0.13		1.0	3	0	2016.0	2019.0
Lupus Erythematosus, Systemic	C0024141	SYT1	6857	P21579	synaptotagmin 1	Transporter	460	0.412	0.846	0.60038	0.13		1.0	4	1	2002.0	2017.0
Lupus Erythematosus, Systemic	C0024141	TNXB	7148	P22105	tenascin XB		127	0.572	0.731	0.018547	0.13		1.0	9	8	2008.0	2019.0
Lupus Erythematosus, Systemic	C0024141	LBH	81606	Q53QV2	LBH regulator of WNT signaling pathway		27	0.686	0.5	0.01436	0.13		1.0	4	1	2013.0	2016.0
Lupus Erythematosus, Systemic	C0024141	ARID5B	84159	Q14865	AT-rich interaction domain 5B	Transcription factor	56	0.638	0.5	1.0	0.13		1.0	5	1	2012.0	2016.0
Lupus Erythematosus, Systemic	C0024141	GTF2IRD1	9569	Q9UHL9	GTF2I repeat domain containing 1		222	0.522	0.769	0.90039	0.13		1.0	5	4	2015.0	2019.0
Lupus Erythematosus, Systemic	C0024141	GLT1D1	144423	Q96MS3	glycosyltransferase 1 domain containing 1		4	0.861	0.231	6.1378e-08	0.12		1.0	2	1	2018.0	2018.0
Lupus Erythematosus, Systemic	C0024141	CYP21A2	1589	P08686	cytochrome P450 family 21 subfamily A member 2		166	0.525	0.769	0.00025989	0.12		1.0	5	15	1990.0	2015.0
Lupus Erythematosus, Systemic	C0024141	XKR6	286046	Q5GH73	XK related 6		25	0.729	0.538	0.99934	0.12		1.0	4	6	2008.0	2018.0
Lupus Erythematosus, Systemic	C0024141	GRB2	2885	P62993	growth factor receptor bound protein 2		122	0.546	0.769	0.93934	0.12		1.0	2	1	2018.0	2019.0
Lupus Erythematosus, Systemic	C0024141	ITPR3	3710	Q14573	inositol 1,4,5-trisphosphate receptor type 3	Ion channel	112	0.555	0.808	2.5541e-22	0.12		1.0	2	1	2008.0	2010.0
Lupus Erythematosus, Systemic	C0024141	AFF1	4299	P51825	AF4/FMR2 family member 1	Transcription factor	49	0.659	0.423	0.71038	0.12		1.0	2	1	2012.0	2012.0
Lupus Erythematosus, Systemic	C0024141	APOM	55937	O95445	apolipoprotein M		82	0.59	0.769	0.00095567	0.12		1.0	3	1	2014.0	2019.0
Lupus Erythematosus, Systemic	C0024141	SKIV2L	6499	Q15477	Ski2 like RNA helicase		96	0.615	0.654	1.2931e-22	0.12		1.0	3	2	2001.0	2014.0
Lupus Erythematosus, Systemic	C0024141	SERPING1	710	P05155	serpin family G member 1	Enzyme modulator	207	0.507	0.769	0.96351	0.12		1.0	2	0	1985.0	2019.0
Lupus Erythematosus, Systemic	C0024141	CXorf21	80231	Q9HAI6	chromosome X open reading frame 21		3	0.89	0.269	0.84298	0.12		1.0	3	1	2015.0	2019.0
Lupus Erythematosus, Systemic	C0024141	TNFSF15	9966	O95150	TNF superfamily member 15	Signaling	143	0.531	0.692	0.0028159	0.12		1.0	3	6	2015.0	2019.0
Lupus Erythematosus, Systemic	C0024141	HCP5	10866	Q6MZN7	HLA complex P5		79	0.595	0.808		0.11		1.0	2	1	2014.0	2014.0
Lupus Erythematosus, Systemic	C0024141	SLC5A11	115584	Q8WWX8	solute carrier family 5 member 11	Transporter	9	0.792	0.423	1.6748e-13	0.11		1.0	2	1	2008.0	2014.0
Lupus Erythematosus, Systemic	C0024141	DAG1	1605	Q14118	dystroglycan 1	Receptor	230	0.498	0.808	0.98117	0.11		1.0	2	1	2015.0	2015.0
Lupus Erythematosus, Systemic	C0024141	ENG	2022	P17813	endoglin		371	0.446	0.846	0.99858	0.11		1.0	1	1	2018.0	2018.0
Lupus Erythematosus, Systemic	C0024141	ERBB2	2064	P04626	erb-b2 receptor tyrosine kinase 2	Kinase	995	0.328	0.923	0.0059892	0.11		1.0	2	1	2015.0	2017.0
Lupus Erythematosus, Systemic	C0024141	NMNAT2	23057	Q9BZQ4	nicotinamide nucleotide adenylyltransferase 2	Enzyme	46	0.67	0.5	0.98853	0.11		1.0	3	2	2008.0	2017.0
Lupus Erythematosus, Systemic	C0024141	HLA-DQA2	3118	P01906	major histocompatibility complex, class II, DQ alpha 2	Immune response	58	0.617	0.769	1.0089e-05	0.11		1.0	5	1	2008.0	2016.0
Lupus Erythematosus, Systemic	C0024141	HLA-DRA	3122	P01903	major histocompatibility complex, class II, DR alpha	Immune response	92	0.581	0.769	0.51949	0.11		1.0	4	3	2008.0	2014.0
Lupus Erythematosus, Systemic	C0024141	IL12RB2	3595	Q99665	interleukin 12 receptor subunit beta 2	Signaling	59	0.608	0.692	1.6212e-09	0.11		1.0	5	5	2009.0	2019.0
